食物名,地区,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,视黄醇当量,硫胺素(VB1),核黄素(VB2),尼克酸(烟酸VPP),维生素E,钠,钙,铁,类别,抗坏血酸(VC),类,胆固醇
豇豆（鲜，长）,,98,29,90.8,2.7,0.2,1.8,4,20,0.07,0.07,0.8,0.65,4.6,42,1,22,18,25,
绿豆芽,,100,18,94.6,2.1,0.1,0.8,2.1,3,0.05,0.06,0.5,0.19,4.4,9,0.6,22,6,25,
垅船豆,湖北武汉,82,34,90.3,2,0.4,1.3,5.5,13,0.04,0.02,0.3,0.9,0.9,37,1.3,22,13,25,
龙豆,甘肃兰州,98,32,90,3.7,0.5,1.9,3.1,87,0.04,0.06,1,0.77,4.1,147,1.3,22,11,25,
龙牙豆（玉豆）,广东,93,17,94.4,2.6,0.2,1.3,1.1,87,0.01,0.54,0.8,,1.8,30,0.8,22,12,25,
毛豆（青豆）,,53,123,69.6,13.1,5,4,6.5,22,0.15,0.07,1.4,2.44,3.9,135,3.5,22,27,25,
四季豆（菜豆）,,96,28,91.3,2,0.4,1.5,4.2,35,0.04,0.07,0.4,1.24,8.6,42,1.5,22,6,25,
豌豆（鲜）,,42,105,70.2,7.4,0.3,3,18.2,37,0.43,0.09,2.3,1.21,1.2,21,1.7,22,14,25,
豌豆苗,上海,98,29,92.7,3.1,0.6,,2.8,,,,,,26.3,59,1.8,22,,25,
油豆角（多花菜豆）,黑龙江哈尔滨,99,22,92.2,2.4,0.3,1.6,2.3,27,0.07,0.08,1.4,2.39,3.3,69,1.9,22,11,25,
芸豆（鲜）,山东崂山,96,25,91.1,0.8,0.1,2.1,5.3,40,0.33,0.06,0.8,0.07,4,88,1,22,9,25,
百合,甘肃兰州,82,162,56.7,3.2,0.1,1.7,37.1,,0.02,0.04,0.7,,6.7,11,1,33,18,50,
百合（干）,,100,342,10.3,6.7,0.5,1.7,77.8,,0.05,0.09,0.9,,37.3,32,5.9,33,,5,
百合（脱水）,甘肃兰州,100,343,9.9,8.1,0.1,1.7,77.4,,,0.02,1.1,,69.8,29,5,33,7,5,
荸荠（马蹄，地栗）,,78,59,83.6,1.2,0.2,1.1,13.1,3,0.02,0.02,0.7,0.65,15.7,4,0.6,33,7,25,
慈菇（乌芋白地果）,,89,94,73.6,4.6,0.2,1.4,18.5,,0.14,0.07,1.6,2.16,39.1,14,2.2,33,4,25,
甘薯（红心，山芋红薯）,,90,99,73.4,1.1,0.2,1.6,23.1,125,0.04,0.04,0.6,0.28,28.5,23,0.5,33,26,50,
甘薯（白心，红皮山芋）,,86,104,72.6,1.4,0.2,1,24.2,37,0.07,0.04,0.6,0.43,58.2,24,0.8,33,24,50,
甘薯粉（地瓜粉）,福建惠安,100,336,14.5,2.7,0.2,0.1,80.8,3,0.03,0.05,0.2,26.4,26.4,33,10,33,,5,
甘薯片（白薯干）,,100,340,12.1,4.7,0.8,2,78.5,25,0.15,0.11,1.1,0.38,26.4,112,3.7,33,9,5,
胡萝卜（红）,,96,37,89.2,1,0.2,1.1,7.7,688,0.04,0.03,0.6,0.41,71.4,32,1,33,13,50,
胡萝卜（黄）,,97,43,87.4,1.4,0.2,1.3,8.9,668,0.04,0.04,0.2,,25.1,32,0.5,33,16,50,
胡萝卜（脱水）,甘肃兰州,100,320,10.9,4.2,1.9,6.4,71.5,2875,0.12,0.15,2.6,,300.7,458,8.5,33,32,5,
茭笋,广东,77,25,91.1,1.7,0.2,2,4.2,,0.05,0.04,0.8,0.42,39.8,2,0.5,33,12,50,
